valeur_reelle,prediction,erreur,erreur_pourcentage
554723.0,481040.07,73682.93,13.282833053614146
468347.0,477288.85,-8941.849999999977,-1.9092361005835365
335444.0,388504.25,-53060.25,-15.81791595616556
477574.0,414243.37,63330.630000000005,13.260904069317005
453575.0,439166.52,14408.479999999981,3.176647742931154
385761.0,393470.19,-7709.190000000002,-1.9984368559807761
448541.0,399076.57,49464.42999999999,11.027850296851344
373360.0,373041.81,318.1900000000023,0.08522337690165051
559173.0,487138.43,72034.57,12.88234052788672
384999.0,389360.25,-4361.25,-1.132795150117273
492832.0,466943.28,25888.719999999972,5.253051749886365
431819.0,451118.11,-19299.109999999986,-4.469259110877471
388870.0,416446.98,-27576.97999999998,-7.09156787615398
381730.0,393238.68,-11508.679999999993,-3.014874387656195
577295.0,520169.41,57125.590000000026,9.895389705436566
542166.0,470967.48,71198.52000000002,13.132236252365514
403299.0,458128.36,-54829.359999999986,-13.595213476849679
550064.0,426619.26,123444.73999999999,22.441886762267664
416873.0,405777.48,11095.520000000019,2.6616067723263486
355048.0,366988.48,-11940.479999999981,-3.3630607692480963
390641.0,382971.29,7669.710000000021,1.9633653405556561
364857.0,359160.21,5696.789999999979,1.5613761007737221
411749.0,398246.33,13502.669999999984,3.2793449407284494
593122.0,510862.47,82259.53000000003,13.8689055540007
379096.0,385809.38,-6713.380000000005,-1.7708918057695162
425403.0,403207.65,22195.349999999977,5.2174878879556505
359123.0,435980.78,-76857.78000000003,-21.401519813545786
527993.0,465950.03,62042.96999999997,11.750718286037879
396299.0,400075.39,-3776.390000000014,-0.9529143399302078
390118.0,403085.86,-12967.859999999986,-3.3240865584259085
400371.0,410140.44,-9769.440000000002,-2.4400968102085323
486475.0,445531.32,40943.67999999999,8.41639960943522
394031.0,398320.62,-4289.619999999995,-1.0886503853757687
393252.0,413360.98,-20108.97999999998,-5.113509912219132
344227.0,344044.9,182.09999999997672,0.052901137911894394
475416.0,461273.79,14142.210000000021,2.9747021555858493
468092.0,464542.57,3549.429999999993,0.7582761508421407
492062.0,433776.47,58285.53000000003,11.84515975629088
403275.0,430496.77,-27221.77000000002,-6.750175438596495
411523.0,433989.21,-22466.21000000002,-5.459284171237093
400963.0,392681.65,8281.349999999977,2.0653651334412344
